"","ID","Site.Name","Town..County.State","UNIT_LINK","OBJECTID","STATE","MIN_EON","MIN_ERA","MIN_PERIOD","MIN_EPOCH","MIN_AGE","FULL_MIN","CMIN_AGE","MAX_EON","MAX_ERA","MAX_PERIOD","MAX_EPOCH","MAX_AGE","FULL_MAX","CMAX_AGE","MIN_MA","MAX_MA","AGE_TYPE","AGE_COM"
"19","Var_1_Sta_N","Starke","Starke, Bradford County, FL","FLPOPSu;0",888,"FL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"20","Var_2_Mil_N","Millhopper","Gainesville, Alachua, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
"21","IMPAC_2_Gain_G","Gainesville","Gainesville, Alachua, FL","FLPOPSu;0",888,"FL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"22","A_mer_Don","Donaldson","Gainesville, Alachua, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
"23","A_mer_Miz","Mize","Gainesville, Alachua, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
"24","SS_PS_Pal_G8","Palatka","Putnam, FL","FLPSHu;0",894,"FL","Phanerozoic","Cenozoic","Quaternary","Holocene","","Phanerozoic - Cenozoic - Quaternary - Holocene","Holocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0,2.58,"Relative",""
"25","S_SIGNS_Hor_C_1","Hortense","Jesup, Wayne County, GA","GAQpnm;1",1056,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"26","S_SIGNS_Hor_C_2","Hortense","Jesup, Wayne County, GA","GAQpnm;1",1056,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"27","S_SIGNS_Hor_C_3","Hortense","Jesup, Wayne County, GA","GAQpnm;1",1056,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"28","S_SIGNS_Gai_C","Gainesville","Gainesville, Alachua County, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
"29","S_SIGNS_Bra_C","Bradford","Bradford County, FL","GAQwm;1",1061,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"30","S_SIGNS_Oke_C","Okefenokee","Ware County, GA","GAPSPOs;1",1038,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"31","S_SIGNS_Lot_E","Lottie","Baldwin County, AL","ALPSPOci;1",166,"AL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"32","S_SIGNS_Old_E","Old Stage Rd","Conecuh County, AL","ALPSPOci;1",166,"AL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"33","S_SIGNS_Bel_E","Belcher Tract","Monroe County, AL","ALPSPOci;1",166,"AL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Pliocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene","Pliocene",0.0117,5.333,"Relative",""
"34","S_SIGNS_Bru_E","Brushy Creek Rd","Copiah County, MS","MSMIc;0",2380,"MS","Phanerozoic","Cenozoic","Tertiary-Neogene","Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene","Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene","Miocene",5.333,23.03,"Relative",""
"35","S_SIGNS_Pos_D","Post Road","Wayne County, GA","GAQti;1",1058,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"36","S_SIGNS_Fol_D","Folkston","Brantley County, GA","GAQpnm;1",1056,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
