ID,Study,Series ,Test,Site Name,Town- County-State,lon,lat,Planted,Harvested,Species,acres,Soil type and/or CRIFF series
S_SIGNS_Sta_D,SSIGNS - CRIFF D ,CRIFF D,D-3,Satilla,"Brantley County, GA",-82.086797,31.209575,2016,,loblolly,1.98,"CRIFF D, Leon Sand"
S_SIGNS_Big_D,SSIGNS - CRIFF D ,CRIFF D,D-4,Big Bend,"Baker County, FL",-82.0804,30.343591,2016,,loblolly,2.01,"CRIFF D, Leon Sand"
S_SIGNS_Ark_Ark,SSIGNS - ARK,ARK,ARK-1,Arkansas Trace,"Ashley County, AR",-91.912620,33.059100,2016,,loblolly,1.98,
S_SIGNS_Fou_Ark,SSIGNS - ARK,ARK,ARK-2,Fountain Hill,"Ashley County, AR",-91.880130,33.319510,2016,,loblolly,1.98,
S_SIGNS_Wes_Ark,SSIGNS - ARK,ARK,ARK-3,Westline,"Sevier County, AR",-94.4594,33.97526,2016,,loblolly,1.98,
S_SIGNS_Pla_Ark,SSIGNS - ARK,ARK,ARK-4,Plainview,"Little River County, AR",-94.41618,33.88867,2016,,loblolly,1.98,
S_SIGNS_Ros_NLOU,SSIGNS - NLOU,NLOU,NLOU-1,Roscoe,"Jackson Parrish, LA",-92.646380,32.340400,2017,,loblolly,1.98,
S_SIGNS_Mon_NLOU,SSIGNS - NLOU,NLOU,NLOU-2,Monticello,"Drew County, AR",-91.854000,33.575000,2017,,loblolly,1.98,
S_SIGNS_Jen1_NLOU,SSIGNS - NLOU,NLOU,NLOU-3,Jena1,"LaSalle Parrish, LA",-92.254320,31.585970,2017,,loblolly,1.74,"Mb—Malbis fine sandy loam, Sf—Savannah fine sandy loam"
S_SIGNS_Jen2_NLOU,SSIGNS - NLOU,NLOU,NLOU-4,Jena2,"LaSalle Parrish, LA",-92.267950,31.559200,2017,,loblolly,1.74,Sf—Savannah fine sandy loam
DH2_Gai_DH2,DH2,DH2,DH2,Gainesville,"Gainesville, Alachua County, FL",-82.32854,29.74687,2012,,loblolly/slash pseudobackcross hybrids,,
