"","ID","Study","Test","Site.Name","Town..County.State","Planted","Harvested","Species","acres","mukey","muname","comppct_r","compname","drainagecl","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxceactcl","taxtempcl","taxmoistscl","cokey","geometry"
"16","WG_CCLONES3_Eto","CCLONES 3 (WG loblolly)  ","K","Etoile","Nacogdoches Co., TX",2006,NA,"Loblolly",17,575632,"Etoile loam, 1 to 5 percent slopes",90,"Etoile","Moderately well drained","Fine, smectitic, thermic Vertic Hapludalfs","Alfisols","Udalfs","Hapludalfs","Vertic Hapludalfs","fine","not used","thermic","Typic",25629736,c(-94.34545, 31.39755)
"17","WG_CCLONES3_Jes_B","CCLONES 3 (WG loblolly)  ","L","Jesup","Jesup, Wayne County, GA",2006,NA,"Loblolly",17,125090,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26109935,c(-81.96688, 31.47294)
"18","WG_CCLONES3_Sau_B","CCLONES 3 (WG loblolly)  ","M","Saucier","MS",2006,NA,"Loblolly",17,332446,"Ruston fine sandy loam, 2 to 5 percent slopes",85,"Ruston","Well drained","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","fine-loamy","semiactive","thermic","Udic",25939984,c(-89.058278, 30.61507)
"19","Var_1_Sta_N","VARIETIES I","","Starke","Starke, Bradford County, FL",2009,NA,"Loblolly ",5.59,631624,"Sapelo sand",60,"Sapelo","Poorly drained","Sandy, siliceous, thermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","thermic","Typic",24997510,c(-82.057139, 29.884811)
"20","Var_2_Mil_N","VARIETIES II","","Millhopper","Gainesville, Alachua, FL",2010,NA,"Loblolly ",14.93,320671,"Pomona sand, 0 to 2 percent slopes",70,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25395657,c(-82.414867, 29.722488)
"21","IMPAC_2_Gain_G","IMPAC II","","Gainesville","Gainesville, Alachua, FL",2009,NA,"Loblolly",9.6,320671,"Pomona sand, 0 to 2 percent slopes",70,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25395657,c(-82.289206, 29.760858)
"22","A_mer_Don","AmeriFlux","","Donaldson","Gainesville, Alachua, FL",1990,NA,"slash",NA,320744,"Sparr fine sand",85,"Sparr","Somewhat poorly drained","Loamy, siliceous, subactive, hyperthermic Grossarenic Paleudults","Ultisols","Udults","Paleudults","Grossarenic Paleudults","loamy","subactive","hyperthermic","Typic",25395847,c(-82.163158, 29.754731)
"23","A_mer_Miz","AmeriFlux","","Mize","Gainesville, Alachua, FL",2000,NA,"slash",NA,320744,"Sparr fine sand",85,"Sparr","Somewhat poorly drained","Loamy, siliceous, subactive, hyperthermic Grossarenic Paleudults","Ultisols","Udults","Paleudults","Grossarenic Paleudults","loamy","subactive","hyperthermic","Typic",25395847,c(-82.161458, 29.764786)
"24","SS_PS_Pal_G8","SSPS","","Palatka","Putnam, FL",2013,NA,"loblolly",6.9,323436,"Pomona fine sand",75,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25164715,c(-81.743222, 29.692639)
"25","S_SIGNS_Hor_C_1","SSIGNS - CRIFF C_rep1","C-1","Hortense","Jesup, Wayne County, GA",2013,NA,"loblolly",1.98,125090,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26109935,c(-81.99753, 31.386977)
"26","S_SIGNS_Hor_C_2","SSIGNS - CRIFF C_rep2","C-2","Hortense","Jesup, Wayne County, GA",2013,NA,"loblolly",1.98,125090,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26109935,c(-81.997531, 31.386977)
"27","S_SIGNS_Hor_C_3","SSIGNS - CRIFF C_rep3","C-3","Hortense","Jesup, Wayne County, GA",2013,NA,"loblolly",1.98,125104,"Rutlege (surrency) sand",100,"Rutlege","Very poorly drained","Loamy, siliceous, thermic Arenic Umbric Paleaquults","Ultisols","Aquults","Paleaquults","Arenic Umbric Paleaquults","loamy",NA,"thermic",NA,26109888,c(-82.006419, 31.384365)
"28","S_SIGNS_Gai_C","SSIGNS - CRIFF C","C-2","Gainesville","Gainesville, Alachua County, FL",2013,NA,"loblolly",1.98,320671,"Pomona sand, 0 to 2 percent slopes",70,"Pomona","Poorly drained","Sandy, siliceous, hyperthermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","hyperthermic","Typic",25395657,c(-82.312903, 29.71978)
"29","S_SIGNS_Bra_C","SSIGNS - CRIFF C","C-3","Bradford","Bradford County, FL",2013,NA,"loblolly",2.01,2686816,"Surrency mucky fine sand, frequently ponded, 0 to 1 percent slopes",97,"Surrency","Very poorly drained","Loamy, siliceous, semiactive, thermic Arenic Umbric Paleaquults","Ultisols","Aquults","Paleaquults","Arenic Umbric Paleaquults","loamy","semiactive","thermic","Typic",26110228,c(-82.458824, 30.740328)
"30","S_SIGNS_Oke_C","SSIGNS - CRIFF C","C-4","Okefenokee","Ware County, GA",2014,NA,"loblolly",2.01,2408365,"Mascotte fine sand, 0 to 2 percent slopes",81,"Mascotte","Poorly drained","Sandy, siliceous, thermic Ultic Alaquods","Spodosols","Aquods","Alaquods","Ultic Alaquods","sandy","not used","thermic","Typic",26109835,c(-82.484816, 30.952223)
"31","S_SIGNS_Lot_E","SSIGNS - CRIFF E ","E-1","Lottie","Baldwin County, AL",2014,NA,"loblolly",2.01,328211,"Sunsweet fine sandy loam, 5 to 8 percent slopes, eroded",90,"Sunsweet","Well drained","Fine, kaolinitic, thermic Typic Kandiudults","Ultisols","Udults","Kandiudults","Typic Kandiudults","fine",NA,"thermic",NA,26046358,c(-87.625735, 31.154782)
"32","S_SIGNS_Old_E","SSIGNS - CRIFF E ","E-2","Old Stage Rd","Conecuh County, AL",2014,NA,"loblolly",2.01,328736,"Orangeburg sandy loam, 1 to 6 percent slopes",85,"Orangeburg","Well drained","Fine-loamy, kaolinitic, thermic Typic Kandiudults","Ultisols","Udults","Kandiudults","Typic Kandiudults","fine-loamy","not used","thermic","Udic",26044504,c(-87.340127, 31.338323)
"33","S_SIGNS_Bel_E","SSIGNS - CRIFF E ","E-3","Belcher Tract","Monroe County, AL",2014,NA,"loblolly",1.98,330846,"Lucy loamy sand, 5 to 8 percent slopes",85,"Lucy","Well drained","Loamy, kaolinitic, thermic Arenic Kandiudults","Ultisols","Udults","Kandiudults","Arenic Kandiudults","loamy","not used","thermic","Udic",26023000,c(-87.49411, 31.39661)
"34","S_SIGNS_Bru_E","SSIGNS - CRIFF E ","E-4","Brushy Creek Rd","Copiah County, MS",2014,NA,"loblolly",1.98,567699,"Providence silt loam, 2 to 5 percent slopes, eroded",85,"Providence","Moderately well drained","Fine-silty, mixed, active, thermic Oxyaquic Fragiudalfs","Alfisols","Udalfs","Fragiudalfs","Oxyaquic Fragiudalfs","fine-silty","active","thermic","Oxyaquic",25938676,c(-90.195413, 31.894454)
"35","S_SIGNS_Pos_D","SSIGNS - CRIFF D ","D-1","Post Road","Wayne County, GA",2016,NA,"loblolly",2.01,125090,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26109935,c(-81.704354, 31.386987)
"36","S_SIGNS_Fol_D","SSIGNS - CRIFF D ","D-2","Folkston","Brantley County, GA",2016,NA,"loblolly",1.98,2686782,"Leon fine sand, 0 to 2 percent slopes",94,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26110046,c(-82.0588588, 30.981387)
"37","S_SIGNS_Sta_D","SSIGNS - CRIFF D ","D-3","Satilla","Brantley County, GA",2016,NA,"loblolly",1.98,2686782,"Leon fine sand, 0 to 2 percent slopes",94,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",26110046,c(-82.086797, 31.209575)
"38","S_SIGNS_Big_D","SSIGNS - CRIFF D ","D-4","Big Bend","Baker County, FL",2016,NA,"loblolly",2.01,1444881,"Leon sand, 0 to 2 percent slopes",92,"Leon","Poorly drained","Sandy, siliceous, thermic Aeric Alaquods","Spodosols","Aquods","Alaquods","Aeric Alaquods","sandy","not used","thermic","Aeric",24991239,c(-82.0804, 30.343591)
"39","S_SIGNS_Ark_Ark","SSIGNS - ARK","ARK-1","Arkansas Trace","Ashley County, AR",2016,NA,"loblolly",1.98,565080,"Bude silt loam, 0 to 2 percent slopes",95,"Bude","Somewhat poorly drained","Fine-silty, mixed, active, thermic Glossaquic Fragiudalfs","Alfisols","Udalfs","Fragiudalfs","Glossaquic Fragiudalfs","fine-silty","active","thermic","Udic",26055873,c(-91.91262, 33.0591)
"40","S_SIGNS_Fou_Ark","SSIGNS - ARK","ARK-2","Fountain Hill","Ashley County, AR",2016,NA,"loblolly",1.98,565070,"Pheba silt loam, 0 to 2 percent slopes",90,"Pheba","Somewhat poorly drained","Coarse-silty, siliceous, active, thermic Glossaquic Fragiudults","Ultisols","Udults","Fragiudults","Glossaquic Fragiudults","coarse-silty","active","thermic","Aquic",26056036,c(-91.88013, 33.31951)
"41","S_SIGNS_Wes_Ark","SSIGNS - ARK","ARK-3","Westline","Sevier County, AR",2016,NA,"loblolly",1.98,1707504,"Felker very fine sandy loam, 1 to 3 percent slopes",95,"Felker","Somewhat poorly drained","Fine-silty, siliceous, active, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-silty","active","thermic","Udic",26130442,c(-94.4594, 33.97526)
"42","S_SIGNS_Pla_Ark","SSIGNS - ARK","ARK-4","Plainview","Little River County, AR",2016,NA,"loblolly",1.98,564894,"Felker silt loam, 0 to 1 percent slopes",80,"Felker","Somewhat poorly drained","Fine-silty, siliceous, active, thermic Aquic Paleudults","Ultisols","Udults","Paleudults","Aquic Paleudults","fine-silty","active","thermic","Udic",26139097,c(-94.41618, 33.88867)
"43","S_SIGNS_Ros_NLOU","SSIGNS - NLOU","NLOU-1","Roscoe","Jackson Parrish, LA",2017,NA,"loblolly",1.98,1725263,"McLaurin loamy fine sand, 1 to 3 percent slopes",90,"McLaurin","Well drained","Coarse-loamy, siliceous, subactive, thermic Typic Paleudults","Ultisols","Udults","Paleudults","Typic Paleudults","coarse-loamy","subactive","thermic","Typic",25884032,c(-92.64638, 32.3404)
"44","S_SIGNS_Mon_NLOU","SSIGNS - NLOU","NLOU-2","Monticello","Drew County, AR",2017,NA,"loblolly",1.98,565466,"Pheba silt loam, 0 to 2 percent slopes",90,"Pheba","Somewhat poorly drained","Coarse-silty, siliceous, active, thermic Glossaquic Fragiudults","Ultisols","Udults","Fragiudults","Glossaquic Fragiudults","coarse-silty","active","thermic","Aquic",26061974,c(-91.854, 33.575)
"45","S_SIGNS_Jen1_NLOU","SSIGNS - NLOU","NLOU-3","Jena1","LaSalle Parrish, LA",2017,NA,"loblolly",1.74,1600182,"Pheba loam",90,"Pheba","Somewhat poorly drained","Coarse-silty, siliceous, active, thermic Glossaquic Fragiudults","Ultisols","Udults","Fragiudults","Glossaquic Fragiudults","coarse-silty","active","thermic",NA,25888470,c(-92.25432, 31.58597)
"46","S_SIGNS_Jen2_NLOU","SSIGNS - NLOU","NLOU-4","Jena2","LaSalle Parrish, LA",2017,NA,"loblolly",1.74,1600192,"Shatta very fine sandy loam, 1 to 5 percent slopes",85,"Shatta","Moderately well drained","Fine-silty, siliceous, semiactive, thermic Typic Fragiudults","Ultisols","Udults","Fragiudults","Typic Fragiudults","fine-silty","semiactive","thermic","Typic",25888409,c(-92.26795, 31.5592)
"47","DH2_Gai_DH2","DH2","DH2","Gainesville","Gainesville, Alachua County, FL",2012,NA,"loblolly/slash pseudobackcross hybrids",NA,320685,"Newnan sand",80,"Newnan","Somewhat poorly drained","Sandy, siliceous, hyperthermic Oxyaquic Alorthods","Spodosols","Orthods","Alorthods","Oxyaquic Alorthods","sandy","not used","hyperthermic","Oxyaquic",25395704,c(-82.32854, 29.74687)
